Type,Buy Amount,Buy Cur.,Sell Amount,Sell Cur.,Fee Amount (optional),Fee Cur. (optional),Exchange (optional),Trade Group (optional),Comment (optional),Date,Tx-ID
"Trade","0.60996997000000","ETH","10.071289995","ETH-DFI","","","DeFiChain Light Wallet","Remove Liquidity","Trade 1 ","2022-01-03T21:14:14", "1ETH-DFI20220103211414"
"Trade","666.05082198000002","DFI","10.071289995","ETH-DFI","","","DeFiChain Light Wallet","Remove Liquidity","Trade 2 ","2022-01-03T21:14:14", "2ETH-DFI20220103211414"
"Trade","0.001144375","ETH-DFI","0.07572824000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-03T20:57:24", "1ETH-DFI20220103205724"
"Trade","0.001144375","ETH-DFI","0.00006931000000","ETH","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-03T20:57:24", "1ETH-DFI20220103205724"
"Trade","0.000592965","BTC-DFI","0.13446338000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-03T20:56:35", "1BTC-DFI20220103205635"
"Trade","0.000592965","BTC-DFI","0.00001049000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-03T20:56:35", "1BTC-DFI20220103205635"
"Trade","0.30403162","USDC-DFI","1.13132530000000","USDC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-03T20:56:00", "1USDC-DFI20220103205600"
"Trade","0.30403162","USDC-DFI","0.33480257000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-03T20:56:00", "1USDC-DFI20220103205600"
"Mining","0.00000280000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2022-01-03T00:01:00", "BTC20220103000100_Commission"
"Mining","2.95593981000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2022-01-03T00:01:00", "DFI20220103000100_Rewards"
