Type,"Buy Amount","Buy Cur.","Sell Amount","Sell Cur.","Fee Amount (optional)","Fee Cur. (optional)","Exchange (optional)","Trade Group (optional)","Comment (optional)",Date,Tx-ID
"Reward / Bonus",0.00000111000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-08T00:01:00,BTC20220108000100_Commission
"Reward / Bonus",2.63374973000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-08T00:01:00,DFI20220108000100_Rewards
"Reward / Bonus",0.03197079000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-08T00:01:00,DFI20220108000100_Commission
"Income (non taxable)",0.00016886,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-07T15:22:40,1BTC-DFI20220107152240
"Other Expense",,,0.01927638000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-07T15:22:40,1BTC-DFI20220107152240
"Other Expense",,,0.00000148000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-07T15:22:40,1BTC-DFI20220107152240
"Reward / Bonus",0.00000176000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-07T00:01:00,BTC20220107000100_Commission
"Reward / Bonus",2.68764641000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-07T00:01:00,DFI20220107000100_Rewards
"Reward / Bonus",0.05147076000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-07T00:01:00,DFI20220107000100_Commission
"Income (non taxable)",0.00024907,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-06T15:15:26,1BTC-DFI20220106151526
"Other Expense",,,0.00000218000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-06T15:15:26,1BTC-DFI20220106151526
"Other Expense",,,0.02846962000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-06T15:15:26,1BTC-DFI20220106151526
"Reward / Bonus",0.00000208000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-06T00:01:00,BTC20220106000100_Commission
"Reward / Bonus",2.61374747000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-06T00:01:00,DFI20220106000100_Rewards
"Reward / Bonus",0.06917555000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-06T00:01:00,DFI20220106000100_Commission
"Income (non taxable)",0.00013738,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-05T15:24:33,1BTC-DFI20220105152433
"Other Expense",,,0.01560626000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-05T15:24:33,1BTC-DFI20220105152433
"Other Expense",,,0.00000121000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-05T15:24:33,1BTC-DFI20220105152433
"Reward / Bonus",0.00000097000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-05T00:01:00,BTC20220105000100_Commission
"Reward / Bonus",2.67200551000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-05T00:01:00,DFI20220105000100_Rewards
"Reward / Bonus",0.02611595000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-05T00:01:00,DFI20220105000100_Commission
"Income (non taxable)",0.0002331,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-04T15:23:14,1BTC-DFI20220104152314
"Other Expense",,,0.02626423000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-04T15:23:14,1BTC-DFI20220104152314
"Other Expense",,,0.00000207000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-04T15:23:14,1BTC-DFI20220104152314
"Reward / Bonus",0.00000176000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-04T00:01:00,BTC20220104000100_Commission
"Reward / Bonus",2.81921478000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-04T00:01:00,DFI20220104000100_Rewards
"Reward / Bonus",0.03907551000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-04T00:01:00,DFI20220104000100_Commission
"Income (non taxable)",1.40861299,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-03T21:46:23,1BTC-DFI20220103214623
"Other Expense",,,158.92440492000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-03T21:46:23,1BTC-DFI20220103214623
"Other Expense",,,0.01249174000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-03T21:46:23,1BTC-DFI20220103214623
"Income (non taxable)",0.00228875,ETH-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-03T20:57:24,1ETH-DFI20220103205724
"Other Expense",,,0.07572824000000,ETH,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2022-01-03T20:57:24,1ETH-DFI20220103205724
"Other Expense",,,0.00006931000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2022-01-03T20:57:24,1ETH-DFI20220103205724
"Income (non taxable)",0.00118593,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-03T20:56:35,1BTC-DFI20220103205635
"Other Expense",,,0.13446338000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-03T20:56:35,1BTC-DFI20220103205635
"Other Expense",,,0.00001049000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-03T20:56:35,1BTC-DFI20220103205635
"Income (non taxable)",0.60806324,USDC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-03T20:56:00,1USDC-DFI20220103205600
"Other Expense",,,1.13132530000000,USDC,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2022-01-03T20:56:00,1USDC-DFI20220103205600
"Other Expense",,,0.33480257000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2022-01-03T20:56:00,1USDC-DFI20220103205600
"Reward / Bonus",0.00000280000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-03T00:01:00,BTC20220103000100_Commission
"Reward / Bonus",2.95593981000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-03T00:01:00,DFI20220103000100_Rewards
"Reward / Bonus",0.04509886000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-03T00:01:00,DFI20220103000100_Commission
"Income (non taxable)",0.23754375,USDC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-02T21:30:33,1USDC-DFI20220102213033
"Other Expense",,,0.13142932000000,USDC,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2022-01-02T21:30:33,1USDC-DFI20220102213033
"Other Expense",,,0.43950514000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2022-01-02T21:30:33,1USDC-DFI20220102213033
"Income (non taxable)",0.00046196,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-02T16:30:04,1BTC-DFI20220102163004
"Other Expense",,,0.00000409000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-02T16:30:04,1BTC-DFI20220102163004
"Other Expense",,,0.05221220000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-02T16:30:04,1BTC-DFI20220102163004
"Income (non taxable)",0.00021101,ETH-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-02T16:17:50,1ETH-DFI20220102161750
"Other Expense",,,0.00000649000000,ETH,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2022-01-02T16:17:50,1ETH-DFI20220102161750
"Other Expense",,,0.00688573000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2022-01-02T16:17:50,1ETH-DFI20220102161750
"Reward / Bonus",0.00000276000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-02T00:01:00,BTC20220102000100_Commission
"Reward / Bonus",0.00004872000000,ETH,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-02T00:01:00,ETH20220102000100_Commission
"Reward / Bonus",4.34337834000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-02T00:01:00,DFI20220102000100_Rewards
"Reward / Bonus",0.40490097000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-02T00:01:00,DFI20220102000100_Commission
"Reward / Bonus",0.90311552000000,USDC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-02T00:01:00,USDC20220102000100_Commission
"Income (non taxable)",0.28585462,USDC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-01T16:40:18,1USDC-DFI20220101164018
"Other Expense",,,0.54849885000000,USDC,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2022-01-01T16:40:18,1USDC-DFI20220101164018
"Other Expense",,,0.15317583000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2022-01-01T16:40:18,1USDC-DFI20220101164018
"Income (non taxable)",0.00095486,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-01T16:39:08,1BTC-DFI20220101163908
"Other Expense",,,0.00000851000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-01T16:39:08,1BTC-DFI20220101163908
"Other Expense",,,0.10718194000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-01T16:39:08,1BTC-DFI20220101163908
"Income (non taxable)",0.00183418,ETH-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-01T16:33:30,1ETH-DFI20220101163330
"Other Expense",,,0.00005709000000,ETH,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2022-01-01T16:33:30,1ETH-DFI20220101163330
"Other Expense",,,0.05901288000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2022-01-01T16:33:30,1ETH-DFI20220101163330
"Reward / Bonus",0.00001133000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-01T00:01:00,BTC20220101000100_Commission
"Reward / Bonus",0.00002666000000,ETH,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-01T00:01:00,ETH20220101000100_Commission
"Reward / Bonus",2.71221924000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-01T00:01:00,DFI20220101000100_Rewards
"Reward / Bonus",0.24717794000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-01T00:01:00,DFI20220101000100_Commission
"Reward / Bonus",0.38793383000000,USDC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-01T00:01:00,USDC20220101000100_Commission
"Income (non taxable)",0.13662097,USDC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-31T18:05:14,1USDC-DFI20211231180514
"Other Expense",,,0.07560338000000,USDC,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2021-12-31T18:05:14,1USDC-DFI20211231180514
"Other Expense",,,0.25272962000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2021-12-31T18:05:14,1USDC-DFI20211231180514
"Income (non taxable)",7.48E-5,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-31T18:02:37,1BTC-DFI20211231180237
"Other Expense",,,0.00888648000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2021-12-31T18:02:37,1BTC-DFI20211231180237
"Other Expense",,,0.00000063000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2021-12-31T18:02:37,1BTC-DFI20211231180237
"Income (non taxable)",0.00043782,ETH-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-31T18:01:35,1ETH-DFI20211231180135
"Other Expense",,,0.00001315000000,ETH,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2021-12-31T18:01:35,1ETH-DFI20211231180135
"Other Expense",,,0.01459616000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2021-12-31T18:01:35,1ETH-DFI20211231180135
"Reward / Bonus",0.00000925000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-31T00:01:00,BTC20211231000100_Commission
"Reward / Bonus",0.00005626000000,ETH,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-31T00:01:00,ETH20211231000100_Commission
"Reward / Bonus",4.40897812000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-31T00:01:00,DFI20211231000100_Rewards
"Reward / Bonus",0.34467777000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-31T00:01:00,DFI20211231000100_Commission
"Reward / Bonus",0.77608337000000,USDC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-31T00:01:00,USDC20211231000100_Commission
"Income (non taxable)",0.16891689,USDC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-30T15:36:57,1USDC-DFI20211230153657
"Other Expense",,,0.09283401000000,USDC,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2021-12-30T15:36:57,1USDC-DFI20211230153657
"Other Expense",,,0.31463072000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2021-12-30T15:36:57,1USDC-DFI20211230153657
"Income (non taxable)",0.0001127,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-30T15:33:39,1BTC-DFI20211230153339
"Other Expense",,,0.00000096000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2021-12-30T15:33:39,1BTC-DFI20211230153339
"Other Expense",,,0.01323669000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2021-12-30T15:33:39,1BTC-DFI20211230153339
"Income (non taxable)",0.00033975,ETH-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-30T15:33:02,1ETH-DFI20211230153302
"Other Expense",,,0.01123248000000,ETH,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2021-12-30T15:33:02,1ETH-DFI20211230153302
"Other Expense",,,0.00001029000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2021-12-30T15:33:02,1ETH-DFI20211230153302
